"CompType","CompInst","CAPEC","Confidentiality","Integrity","Availability","ApplicableDefenseProperties","ImplProperties","DAL"
"Actuation","actuation","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Actuation","actuation","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Actuation","actuation","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Actuation","actuation","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Actuation","actuation","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"Camera","camera","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Camera","camera","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Camera","camera","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Camera","camera","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Camera","camera","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"Connector","connector","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Connector","connector","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Connector","connector","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Connector","connector","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Connector","connector","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"DeliveryItemMechanism","deliveryItemMechanism","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-184",null,"Integrity",null,"MemoryProtection;SecureBoot","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-438",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"DeliveryPlanner","deliveryPlanner","CAPEC-624",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"FlightControl","fc","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"FlightControl","fc","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"FlightControl","fc","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"FlightControl","fc","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"FlightControl","fc","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Navigation","navigation","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Navigation","navigation","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Navigation","navigation","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"PositionEstimator","positionEstimator","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
"Radio","radio","CAPEC-439",null,"Integrity",null,"SupplyChainSecurity;null","null;null","null;null"
"Radio","radio","CAPEC-440",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Radio","radio","CAPEC-440",null,"Integrity",null,"TamperProtection;null","null;null","null;null"
"Radio","radio","CAPEC-507",null,"Integrity",null,"PhysicalAccessControl;null","null;null","null;null"
"Radio","radio","CAPEC-507",null,null,"Availability","PhysicalAccessControl;null","null;null","null;null"
